combination,rate
"(0,)",0.9318181818181818
"(0, 1)",0.9318181818181818
"(0, 2)",0.9318181818181818
"(0, 3)",0.9318181818181818
"(0, 4)",0.9318181818181818
"(0, 5)",0.9318181818181818
"(0, 1, 2)",0.9318181818181818
"(0, 1, 3)",0.9318181818181818
"(0, 1, 4)",0.9318181818181818
"(0, 1, 5)",0.9318181818181818
"(0, 2, 3)",0.9318181818181818
"(0, 2, 4)",0.9318181818181818
"(0, 2, 5)",0.9318181818181818
"(0, 3, 4)",0.9318181818181818
"(0, 3, 5)",0.9318181818181818
"(0, 4, 5)",0.9318181818181818
"(0, 1, 2, 3)",0.9318181818181818
"(0, 1, 2, 4)",0.9318181818181818
"(0, 1, 2, 5)",0.9318181818181818
"(0, 1, 3, 4)",0.9318181818181818
"(0, 1, 3, 5)",0.9318181818181818
"(0, 1, 4, 5)",0.9318181818181818
"(0, 2, 3, 4)",0.9318181818181818
"(0, 2, 3, 5)",0.9318181818181818
"(0, 2, 4, 5)",0.9318181818181818
"(0, 3, 4, 5)",0.9318181818181818
"(0, 1, 2, 3, 4)",0.9318181818181818
"(0, 1, 2, 3, 5)",0.9318181818181818
"(0, 1, 2, 4, 5)",0.9318181818181818
"(0, 1, 3, 4, 5)",0.9318181818181818
"(0, 2, 3, 4, 5)",0.9318181818181818
"(0, 1, 2, 3, 4, 5)",0.9318181818181818
